Day,Prediction,Actual,Prev_Actual,Signal,Action,Portfolio Value
350,312.21222,0.5644717,0.5644717,buy,hold,91.01507943136669
351,312.20795,0.5516123,0.5644717,buy,hold,88.94163746352363
352,312.19937,0.5558988,0.5516123,buy,hold,89.63279016078472
353,312.20364,0.5516123,0.5558988,buy,hold,88.94163746352363
354,312.19937,0.5687582,0.5516123,buy,hold,91.70623212862778
355,312.20795,0.5644717,0.5687582,buy,hold,91.01507943136669
356,312.21222,0.5687582,0.5644717,buy,hold,91.70623212862778
357,312.21222,0.57304466,0.5687582,buy,hold,92.39737837631277
358,312.2208,0.5773311,0.57304466,buy,hold,93.08852139920974
359,312.2208,0.5773311,0.5773311,buy,hold,93.08852139920974
360,312.2208,0.59876347,0.5773311,buy,hold,96.54426392439291
361,312.23364,0.6073364,0.59876347,buy,hold,97.92655803215695
362,312.24652,0.59876347,0.6073364,buy,hold,96.54426392439291
363,312.24222,0.59876347,0.59876347,buy,hold,96.54426392439291
364,312.24222,0.59876347,0.59876347,buy,hold,96.54426392439291
365,312.24222,0.60304993,0.59876347,buy,hold,97.23541017207792
366,312.24652,0.60304993,0.60304993,buy,hold,97.23541017207792
367,312.24652,0.60304993,0.60304993,buy,hold,97.23541017207792
368,312.24652,0.594477,0.60304993,buy,hold,95.8531160643139
369,312.24652,0.59019053,0.594477,buy,hold,95.16196820423487
370,312.24222,0.59876347,0.59019053,buy,hold,96.54426392439291
371,312.24222,0.59876347,0.59876347,buy,hold,96.54426392439291
372,312.24652,0.59876347,0.59876347,buy,hold,96.54426392439291
373,312.24652,0.6073364,0.59876347,buy,hold,97.92655803215695
374,312.2508,0.61162287,0.6073364,buy,hold,98.61770589223597
375,312.2551,0.6201958,0.61162287,buy,hold,100.0
376,312.26367,0.61590934,0.6201958,buy,hold,99.308853752315
377,312.26367,0.61590934,0.61590934,buy,hold,99.308853752315
378,312.25937,0.60304993,0.61590934,buy,hold,97.23541017207792
379,312.2551,0.60304993,0.60304993,buy,hold,97.23541017207792
380,312.2551,0.60304993,0.60304993,buy,hold,97.23541017207792
381,312.2551,0.6073364,0.60304993,buy,hold,97.92655803215695
